csv_column,csv_unit,imas_unit,csv_dtype,imas_dtype,imas_path,csv_description,imas_standard_name,imas_description,kind,status,notes,transform,transform_args,needs_source,source_fields,source,errors,sentinels,
BSOURCE,,,,,,The power fractions injected by neutral beam.,,,,,"Candidate: summary/heating_current_drive/nbi(0)/beam_power_fraction (dimensionless 3-element array: full/half/third-energy fractions within NBI unit 0). Matches if BSOURCE encodes the energy-component split of one beam. If instead it is the fractional power contribution of unit 0 vs all units (PINJ/ΣPINJ), no DD field exists → temporary.",,,TRUE,,,,,
ECHLOC,,,,,,Location of ECH launch.,,,,,"No string launch-location label in summary. Closest DD field for numeric deposition location: summary/heating_current_drive/ec(0)/position (rho_tor_norm, 'position of maximum ECRH power deposition'). If ECHLOC is a string label (e.g. 'midplane', 'HFS'), no summary field exists → temporary. ec_launchers/launcher(0)/name could hold a string label (machine description IDS).",,,,,,,,
ICSCHEME,,,,,,,,,,,"No heating-scheme label in summary. Candidate: summary/heating_current_drive/ic(0)/harmonic (integer, 'harmonic number of absorbed ICRH waves') captures part of the scheme. Full scheme string (e.g. 'H minority', 'D-3He') has no DD field. If encoding as harmonic integer, use ic(0)/harmonic as mapped_caveat; for the full label → temporary.",,,,,,,,
ICLOC,,,,,,Location of ICRF antenna.,,,,,"No antenna-location label in summary. Nearby: summary/heating_current_drive/ic(0)/position (rho_tor_norm, deposition position, not antenna location). Antenna hardware: ic_antennas/antenna(0)/name (string) or ic_antennas/antenna(0)/module(0)/voltage/position/phi (toroidal angle, rad). Suggest temporary unless mapping to ic(0)/position as caveat.",,,,,,,,
ICSCHEM2,,,,,,ICRH heating scheme for second frequency.,,,,,Candidate: summary/heating_current_drive/ic(1)/harmonic for second IC launcher. See ICSCHEME.,,,,,,,,
ICLOC2,,,,,,Location of ICRF antenna for second frequency.,,,,,"See ICLOC. Candidate: summary/heating_current_drive/ic(1)/position (rho_tor_norm, deposition position of second launcher); ic_antennas/antenna(1)/name for a string location label. Suggest temporary.",,,,,,,,
IBFREQ,,,,,,The frequency of the Ion Bernstein wave Heating in Hz.,,,,,"No dedicated IBW IDS. IBW operates at ICRH frequencies; nearest DD field: summary/heating_current_drive/ic(0)/frequency (Hz, 'ICRH frequency'). If IBW is a separate launcher, it can occupy a separate ic(:) AoS index. Alternatively core_sources/source(:)/identifier/index with the IBW source-type index. Suggest mapped_caveat with ic(:)/frequency or temporary.",,,,,,,,
PIBW,,,,,,Total Ion Bernstein Wave heating power in watts. Zero if no IBW is applied.,,,,,No IBW-specific power field in summary. IBW could be stored as summary/heating_current_drive/ic(:)/power if treated as an additional IC launcher (a new ic AoS index). Suggest mapped_caveat with ic(:)/power or temporary if IBW warrants its own index.,,,,,,,,
DWMHD,,W,,structure,summary/global_quantities/denergy_thermal_dt,Time rate of change of the total plasma stored energy as determined from MHD in watts.,,Time derivative of the thermal plasma energy content,0,,DD path confirmed: summary/global_quantities/denergy_thermal_dt (W) = 'Time derivative of the thermal plasma energy content'. Definitional caveat stands: WMHD = thermal + fast-particle contribution; the DD path covers thermal only. Suggest mapped_caveat accepting this difference.,,,,,,,,summary/global_quantities/denergy_thermal_dt
TE95,,eV,,FLT_1D,core_profiles/profiles_1d(0)/electrons/temperature(0),"The electron temperature at the surface enclosing 95% of the poloidal flux, in eV.",,Temperature,dynamic,,"core_profiles, make 1 point and specify normalized coordinate",identity,,,,,,[-9.999e-09],core_profiles/profiles_1d/electrons/temperature
TI95,,eV,,FLT_1D,core_profiles/profiles_1d(0)/t_i_average(0),"The ion temperature at the surface enclosing 95% of the poloidal flux, in eV.",,Ion temperature (averaged on charge states and ion species),dynamic,,See NE95 (t_i_average at the 95% surface).,identity,,,,,,[-9.999e-09],core_profiles/profiles_1d/t_i_average
WFFORM,,,,,,Total fast ion energy due to NBI in joules estimated from approximate formula. Zero if no NBI is applied.,,,,,No NBI-specific fast energy field in summary (unlike IC which has summary/heating_current_drive/ic(0)/energy_fast). Summary totals energy_fast_perpendicular and energy_fast_parallel are already claimed by WFPER/WFPAR. No per-source NBI fast energy exists in summary. Suggest temporary.,,,,,,,[-9.999e-09],
WFANI,,,,,,Estimate of fraction of perpendicular fast ion energy compared to the total fast ion energy due to NBI.,,,,,"No anisotropy-fraction field in DD. Derivable from existing mapped fields: WFANI = energy_fast_perpendicular / (energy_fast_perpendicular + energy_fast_parallel), i.e. WFPER / (WFPER + WFPAR). Suggest derived.",,,,,,,[-9.999e-09],
WFICRH,,,,,,Estimate of the perpendicular fast ion energy content during ICRH heating in Joules. Zero if no ICRH.,,,,,"Candidate: summary/heating_current_drive/ic(0)/energy_fast (J) – 'Fast particle energy content driven by IC waves'. Direct match for WFICRH. Note: the DD field is total IC fast energy, not split into perp/parallel; WFICRH is described as perpendicular only. Accept as mapped_caveat or mapped if the perp component dominates.",,,,,,,[-9.999e-09],
WFICRHP,,,,,,Estimate of the parallel fast ion energy content due to ICRH heating in Joules. Zero if no ICRH is applied.,,,,,DD has no perp/parallel split per heating source; summary/heating_current_drive/ic(0)/energy_fast is total IC fast energy (candidate for WFICRH). No separate parallel IC fast energy field exists. Suggest temporary.,,,,,,,[-9.999e-09],
WFANIIC,,,,,,Estimate of fraction of perpendicular fast ion energy compared to the total fast ion energy due to ICRH heating.,,,,,No IC anisotropy-fraction field in DD. Derivable once WFICRH and WFICRHP are resolved: WFANIIC = WFICRH / (WFICRH + WFICRHP). Suggest derived (or temporary until WFICRH/WFICRHP are settled).,,,,,,,[-9.999e-09],
THTIME,,,,,,The fast ion thermalisation time in seconds (NBI only).,,,,,"No fast-ion thermalisation timescale in any summary IDS. The distributions IDS has distributions/distribution(0)/global_quantities/thermalization/power (W, power transferred at thermalisation) but not a characteristic time. Suggest temporary.",,,,,,,[-9.999e-09],
DALFMP,,,,,,Da emission in the mid-plane.,,,,,"No summary-level D-alpha scalar. Nearest diagnostic path: spectrometer_visible/channel(0)/grating_spectrometer/processed_line(0)/intensity/data (s⁻¹, non-calibrated intensity) for a midplane spectroscopy channel. Machine-specific: requires identifying the midplane channel and Dα processed-line index. Suggest temporary (or mapped_caveat at diagnostic level with channel-index caveat).",,,,,,,[-9.999e-09],
DALFRAT,,,,,,Ratio of Da emission in the divertor to Da emission in the mid-plane.,,,,,"No DD field for divertor/midplane D-alpha ratio. Derivable from two spectrometer_visible channels (divertor and midplane) if both are mapped. Suggest derived, or temporary.",,,,,,,[-9.999e-09],
TAUP,,,,,,An estimate of the particle confinement time.,,,,,"No particle confinement time in summary. Available: summary/global_quantities/tau_helium (s) as a proxy for fuel confinement. If TAUP is operationally close to tau_helium, suggest mapped_caveat; otherwise temporary. No tau_fuel or tau_particle field exists in DD.",,,,,,,[-9.999e-09],
PMAIN,,Pa,,FLT_1D,summary/scrape_off_layer/pressure_neutral,Neutral pressure in the main chamber in Pascals.,,Neutral pressure in the SOL,dynamic,,,identity,,TRUE,"(""pressure/data"",""name"")",,,[-1.29e-31],summary/scrape_off_layer/pressure_neutral
PDIV,,,,,,Neutral pressure in the divertor region in Pascals.,,,,,,identity,,TRUE,"(""pressure/data"",""name"")",,,"[-9.999e-09, -1.29e-31]",
BIASM,,,,,,Divertor bias scheme.,,,,,"No divertor-biasing scheme label in DD. The wall IDS has wall/description_ggd/ggd/v_biasing (V, spatial bias voltage over wall GGD) but no scheme flag. Suggest temporary.",,,,,,,,
VBIAS,,,,,,Divertor or limiter bias voltage in volts.,,,,,"Candidate: wall/description_ggd/ggd/v_biasing/values (V) – 'Electric potential applied to wall element by outside means'. Spatial array over GGD grid; selecting the biased wall element gives the voltage. Suggest mapped_caveat (not a single scalar; wall element index is machine-specific), or temporary.",,,,,,,,
VTO95,,,,,,Toroidal rotation velocity at R95 in m/sec. Positive velocity in the co-direction.,,,,,Candidate: summary/local/pedestal/velocity_phi/deuterium (m/s) – 'Ion toroidal rotation velocity at pedestal position'. R95 ≈ pedestal top in many machines. Species must be specified (deuterium typical). Suggest mapped_caveat: pedestal ≠ exactly 95% flux surface and species dependence.,,,,,,,[-9.999e-09],
VPO95,,,,,,Poloidal rotation velocity at R95 in m/sec. Positive velocity in the ion diamagnetic direction.,,,,,No poloidal rotation at any location in summary. Profile-level only: charge_exchange/channel(0)/ion(0)/velocity_pol/data (m/s) or core_profiles. No summary scalar exists. Suggest temporary.,,,,,,,,
NELEDGE,,m^-3,,FLT_1D,interferometer/channel(0)/n_e_line_average/data,"Line averaged density of an edge interferometer channel at RNELEDGE (JET, AUG).",,Data,dynamic,,Existing path interferometer/channel(0)/n_e_line_average/data confirmed in DD. The edge channel is machine-specific (not always index 0). Suggest mapped_caveat with a per-machine note specifying the actual channel index.,,,,,,,[-9.999e-09],interferometer/channel/n_e_line_average/data
RNELEDGE,,,,,,"Tangency radius of the channel NELEDGE (JET, AUG).",,,,,"No tangency-radius field in the interferometer IDS. The chord geometry is described by endpoints: interferometer/channel(0)/line_of_sight/first_point/r and second_point/r (m). Tangency radius must be derived geometrically (minimum R along the chord). Suggest temporary, or derived from interferometer line_of_sight geometry.",,,,,,,,
CRYO,,,,,,Indicates the activity of the divertor cryo-pump.,,,,,"Candidate: gas_pumping/duct(0)/flow_rate/data (m³/s) – 'Total pumping flow rate via this duct'. If the divertor cryo-pump is modelled as a gas-pumping duct, flow_rate > 0 indicates activity. CRYO is a flag (on/off), not a rate; suggest mapped_caveat if flow-rate encoding is acceptable, otherwise temporary.",,,,,,,,
NE90,,,constant_float0d(:),,,"Same as NE95, but taken on the surface enclosing 90% of the poloidal flux.",,,,,,identity,,,,,,[-9.999e-09],
TE90,,,constant_float0d(:),,,"Same as TE95, but taken on the surface enclosing 90% of the poloidal flux.",,,,,,identity,,,,,,"[-9.999e-09, 1.7e+38]",
TI90,,,constant_float0d(:),,,"Same as TI95, but taken on the surface enclosing 90% of the poloidal flux.",,,,,,identity,,,,,,"[-9.999e-09, 1.7e+38]",
R90,,,constant_float0d(:),,,"Same as R95, but taken on the surface enclosing 90% of the poloidal flux.",,,,,,identity,,TRUE,"(""rho_tor(0)"", ""rho_tor_norm(0)"")",0.9,,"[-9.999e-09, 1.7e+38]",
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
