csv_column,csv_unit,imas_unit,csv_dtype,imas_dtype,imas_path,csv_description,imas_standard_name,imas_description,kind,status,notes,transform,transform_args,needs_source,source_fields,source,errors,sentinels,
WKIN,,J,,FLT_1D,summary/global_quantities/energy_thermal,Total thermal plasma energy in joules as determined from kinetic measurements.,,Thermal plasma energy content = 3/2 * integral over the plasma volume of the thermal pressure,dynamic,mapped,,identity,,TRUE,,,,[-9.999e-09],summary/global_quantities/energy_thermal
WEKIN,,J,,FLT_1D,summary/global_quantities/energy_electrons_thermal,Total thermal electron plasma energy in joules as determined from kinetic measurements.,,Thermal electron plasma energy content = 3/2 * integral over the plasma volume of the thermal electron pressure,dynamic,mapped,,identity,,TRUE,,,,[-9.999e-09],summary/global_quantities/energy_electrons_thermal
WIKIN,,J,,FLT_1D,summary/global_quantities/energy_ion_total_thermal,Total thermal ion plasma energy in joules as determined from kinetic measurements.,,Thermal ion plasma energy content (sum over the ion species) = 3/2 * integral over the plasma volume of the thermal ion pressure,dynamic,mapped,,identity,,TRUE,,,,[-9.999e-09],summary/global_quantities/energy_ion_total_thermal
WFPAR,,J,,FLT_1D,summary/global_quantities/energy_fast_parallel,Total parallel fast ion energy due to NBI in joules as determined from beam calculations.,,Fast particles parallel energy content = 3/2 * integral over the plasma volume of the fast parallel pressure,dynamic,mapped,conflict with WFICRH (127),identity,,TRUE,,,,[-9.999e-09],summary/global_quantities/energy_fast_parallel
DELTAU,,1,,FLT_1D,summary/boundary/triangularity_upper,Upper triangularity of the plasma boundary from an MHD equilibrium fit.,,Upper triangularity of the plasma boundary,dynamic,mapped,,identity,,TRUE,,,,,summary/boundary/triangularity_upper
DELTAL,,1,,FLT_1D,summary/boundary/triangularity_lower,Lower triangularity of the plasma boundary from an MHD equilibrium fit.,,Lower triangularity of the plasma boundary,dynamic,mapped,,identity,,TRUE,,,,,summary/boundary/triangularity_lower
PRADCORE,,W,,FLT_1D,summary/global_quantities/power_radiated_inside_lcfs,Power radiated by the volume enclosed inside the separatrix.,,Radiated power from the plasma inside the Last Closed Flux Surface,dynamic,mapped,,identity,,TRUE,,,,[-9.999e-09],summary/global_quantities/power_radiated_inside_lcfs
PLTH,,W,,FLT_1D,summary/global_quantities/power_loss,Estimated Loss Power corrected for charge exchange and unconfined orbit losses in watts (PLTH = PL - PFLOSS).,,Power through separatrix,dynamic,mapped,,identity,,TRUE,,,,,summary/global_quantities/power_loss
NELoNGW,,1,,FLT_1D,summary/global_quantities/greenwald_fraction,Density normalised by Greenwald density limit (NEL / nG).,,Greenwald fraction =line_average/n_e/value divided by (global_quantities/ip/value *1e6 * pi * minor_radius^2),dynamic,mapped,,identity,,TRUE,,,,,summary/global_quantities/greenwald_fraction
CONFIG,,,,INT_1D,summary/boundary/type,The plasma configuration.,,"0 (limiter), 1 (diverted), 11 (LSN), 12 (USN), 13 (DN), 14 (snowflake)",dynamic,mapped_caveat,"Definitions of MAR, IN, OUT are not defined in variable sheet.",dictionary,"{""LIM"": 0, ""SN"": 1, ""SN(L)"": 11, ""SNL"": 11, ""SNB"": 11, ""SN(U)"": 12, ""SNT"": 12, ""DN"": 13}",TRUE,,,,,summary/boundary/type
BEPDIA,,1,,FLT_1D,summary/global_quantities/beta_pol,Corrected poloidal diamagnetic beta from diamagnetic coils.,,Poloidal beta. Defined as betap = 4 int(p dV) / [R_0 * mu_0 * Ip^2],dynamic,mapped_caveat,"beta_pol is the only non-MHD poloidal beta in summary, but its DD definition is equilibrium-pressure based, not diamagnetic-specific - no dedicated diamagnetic beta field exists.",identity,,TRUE,,,,[-9.999e-09],summary/global_quantities/beta_pol
PABS,,W,,FLT_1D,summary/heating_current_drive/power_nbi,Total injected neutral beam power minus shine through in watts. Zero if no beams are on.,,Total NBI power coupled to the plasma,dynamic,mapped_caveat,"Candidate: summary/heating_current_drive/power_nbi (W) – 'Total NBI power coupled to the plasma'. Note: the DD definition subtracts BOTH shine-through AND fast ion losses, while PABS subtracts only shine-through. Relation: power_nbi = PABS − PFLOSS. Accept as mapped_caveat if PFLOSS ≈ 0, or set PABS = derived (power_nbi + PFLOSS). Per-unit: summary/heating_current_drive/nbi(:)/power.",identity,,TRUE,,,,[-9.999e-09],summary/heating_current_drive/power_nbi
ICANTEN,,rad,,FLT_1D,summary/heating_current_drive/ic(0)/phase,ICRH antenna phasing.,,Phase between straps,dynamic,mapped_caveat,"target path is a radian float_1D time coordinated. Possible values of source csv is MONOPOLE, DIPOLE, 0PI0PI. The last cannot be expressed as a single number?",dictionary,"{""MONOPOLE"":0,""DIPOLE"":3.14159}",TRUE,,,,"['????????','??????????','.','********']",summary/heating_current_drive/ic/phase
ICANTEN2,,rad,,FLT_1D,summary/heating_current_drive/ic(1)/phase,Antenna phasing for second frequency.,,Phase between straps,dynamic,mapped_caveat,See ICANTEN.,dictionary,"{""MONOPOLE"":0,""DIPOLE"":3.14159}",TRUE,,,,"['????????','??????????','.','********']",summary/heating_current_drive/ic/phase
WFPER,,J,,FLT_1D,summary/global_quantities/energy_fast_perpendicular,Total perpendicular fast ion energy due to NBI in joules as determined from beam calculations.,,Fast particles perpendicular energy content = 3/2 * integral over the plasma volume of the fast perpendicular pressure,dynamic,mapped_caveat,,identity,,TRUE,,,,[-9.999e-09],summary/global_quantities/energy_fast_perpendicular
